threads,24,240,1200,2400
1,0.000101521s,0.0991533s,12.3665s,101.931s,
2,6.0394e-05s,0.0497441s,6.5417s,52.7878s,
4,5.2268e-05s,0.0398471s,3.88501s,29.5543s,
6,0.000195087s,0.0283722s,3.13157s,24.9304s,
12,0.000188614s,0.0199715s,2.48687s,19.0995s,
