threads,24,240,1200,2400
1,0.000146506s,0.13071s,16.4175s,131.133s,
2,7.6154e-05s,0.0662777s,8.66546s,69.2095s,
4,5.8961e-05s,0.0375937s,5.03359s,39.929s,
6,7.8959e-05s,0.0429893s,4.13577s,32.3348s,
12,6.913e-05s,0.026251s,3.50785s,24.7307s,
